Close,log return,,,
34220.99642,-0.002355968,,,
34346.96686,0.003674328,,,
34435.70677,0.0025803,,,
34900.21078,0.013398855,,,
34665.23581,-0.006755534,,,
34768.27612,0.002968031,,,
34936,0.004812451,,,
34981.55816,0.001303197,,,
34868.74982,-0.003230006,,,
34592.02334,-0.007967891,,,
34921.05865,0.009466931,,,
34566.39741,-0.01020801,,,
34596.4603,0.000869336,,,
34480.0085,-0.003371681,,,
34536.57873,0.001639323,,,
34103.57815,-0.012616705,,,
34348.96756,0.007169652,,,
34516.2835,0.004859236,,,
34206.17872,-0.009024906,,,
34540,0.009711781,,,
34643.69597,0.002997702,,,
34718.70239,0.002162741,,,
34572.70183,-0.004214109,,,
34954,0.010968505,,,
34765.79,-0.005399054,,,
34679.58402,-0.0024827,,,
34609.03423,-0.002036404,,,
34792.90552,0.005298749,,,
34914.96146,0.003501931,,,
35040.78252,0.003597165,,,
34850.5684,-0.005443151,,,
35156,0.008725854,,,
34972.33403,-0.005238008,,,
35164.53252,0.005480683,,,
35213.94456,0.001404181,,,
35555.94586,0.009665239,,,
35644,0.002473434,,,
35621.49562,-0.000631565,,,
34867.75219,-0.021386869,,,
34346.90453,-0.015050497,,,
35209.20442,0.024795638,,,
35369.63067,0.004546024,,,
35948.22702,0.016226204,,,
36293.64436,0.009562874,,,
36038,-0.007068702,,,
35897.39875,-0.003909103,,,
35833.04174,-0.001794413,,,
36088.7914,0.007111908,,,
36287.8523,0.005500708,,,
36209.47407,-0.002162239,,,
35980.24439,-0.006350778,,,
36269.90688,0.008018365,,,
36239.04416,-0.00085128,,,
36697.91729,0.012582898,,,
36755.11736,0.00155746,,,
36621.11651,-0.003652436,,,
36957.34892,0.009139488,,,
37190.54004,0.006289913,,,
37115.98384,-0.002006721,,,
36894.06851,-0.005996915,,,
36910.9243,0.000456765,,,
36815.9685,-0.002575881,,,
36821.78245,0.000157907,,,
36768.04247,-0.001460528,,,
36604.78872,-0.004449986,,,
36810.73309,0.005610392,,,
36929.00001,0.003207688,,,
37020.3343,0.002470187,,,
37564.50826,0.014592338,,,
37612.20485,0.00126892,,,
37445.90467,-0.004431246,,,
37315.35906,-0.003492336,,,
37238.35005,-0.002065867,,,
37476.41063,0.00637254,,,
37416.38841,-0.001602884,,,
37339.18906,-0.002065381,,,
37479.72863,0.003756797,,,
37340.51656,-0.003721245,,,
37327.61388,-0.000345601,,,
37226.54014,-0.00271142,,,
36792.69229,-0.011722705,,,
37060.9623,0.00726494,,,
37126.45102,0.001765495,,,
37278.45411,0.004085841,,,
37116.42319,-0.004355977,,,
37072.90595,-0.00117314,,,
36831.76214,-0.00652583,,,
36850,0.000495044,,,
36868.64945,0.000505963,,,
37191.04578,0.008706446,,,
37188.92251,-5.70926E-05,,,
37036.36103,-0.004110774,,,
37090.78463,0.001468385,,,
37240,0.004014906,,,
37473.04088,0.006238312,,,
37241.78646,-0.006190342,,,
37129.86671,-0.003009744,,,
37043.80606,-0.002320518,,,
37024.88054,-0.000511026,,,
37238.99309,0.00576628,,,
37190.00072,-0.001316486,,,
37391.90327,0.005414263,,,
37820.09162,0.011386295,,,
37897.11043,0.002034381,,,
37938.76671,0.001098591,,,
37943.3487,0.000120766,,,
37964.35201,0.000553391,,,
38287.10302,0.008465489,,,
38344.83456,0.001506723,,,
38213.94398,-0.003419352,,,
38162.47095,-0.001347878,,,
38497.6199,0.008743822,,,
38487.52208,-0.000262332,,,
38377.09498,-0.00287329,,,
38442.39694,0.001700141,,,
38181.60832,-0.006806996,,,
38303.70875,0.003192784,,,
38583.62878,0.007281336,,,
38905.94623,0.008319037,,,
39043.21623,0.003522043,,,
39180.2,0.003502376,,,
39215.18772,0.000892596,,,
39122.19448,-0.002374174,,,
39364.27096,0.006168637,,,
39647.27683,0.007163689,,,
39640.25326,-0.000177167,,,
39718.57764,0.00197393,,,
40170.98357,0.011325904,,,
39079.41,-0.027549203,,,
37872.8987,-0.031359947,,,
38789.29677,0.02390857,,,
38162.18791,-0.016299172,,,
38683.95745,0.013579798,,,
39057.17554,0.009601634,,,
39019.51609,-0.000964678,,,
38825.45346,-0.004985885,,,
38400,-0.011018589,,,
38964.71044,0.014598916,,,
39105.35342,0.003602998,,,
39391.99753,0.007303314,,,
39426.56608,0.000877168,,,
39741.62951,0.007959386,,,
39672.36619,-0.001744361,,,
39603.45399,-0.001738543,,,
39712.18894,0.00274183,,,
39700,-0.000306979,,,
39571.59673,-0.003239581,,,
38938.58996,-0.016125818,,,
38879.22068,-0.001525854,,,
38917.52487,0.000984725,,,
39430.3895,0.013092166,,,
39627.34505,0.004982585,,,
39447.44198,-0.004550208,,,
39188.62209,-0.006582751,,,
38802,-0.00991466,,,
38762.0064,-0.001031241,,,
38520.52733,-0.006249274,,,
38189.6011,-0.008628021,,,
38679.11315,0.012736486,,,
38170.50301,-0.013236698,,,
37851.79787,-0.008384566,,,
36771.85823,-0.028945648,,,
