Date,High,Low,gold_close
2018/8/17,"1,181.20","1,174.70","1,176.50"
2018/8/20,"1,190.00","1,184.40","1,186.80"
2018/8/21,"1,192.60","1,189.80","1,192.60"
2018/8/22,"1,196.30","1,194.70","1,196.30"
2018/8/23,"1,190.30","1,184.90","1,187.00"
2018/8/24,"1,208.00","1,185.30","1,206.30"
2018/8/27,"1,211.40","1,205.20","1,209.00"
2018/8/28,"1,217.00","1,202.30","1,207.40"
2018/8/29,"1,205.20","1,202.40","1,204.50"
2018/8/30,"1,205.60","1,196.00","1,197.70"
2018/8/31,"1,208.20","1,199.10","1,200.30"
2018/9/4,"1,193.80","1,189.90","1,192.70"
2018/9/5,"1,196.00","1,192.50","1,194.90"
2018/9/6,"1,202.00","1,197.90","1,197.90"
2018/9/7,"1,198.30","1,193.10","1,193.60"
2018/9/10,"1,193.00","1,193.00","1,193.00"
2018/9/11,"1,196.30","1,190.40","1,195.40"
2018/9/12,"1,205.00","1,204.70","1,204.70"
2018/9/13,"1,203.40","1,200.00","1,202.00"
2018/9/14,"1,195.00","1,195.00","1,195.00"
2018/9/17,"1,199.70","1,199.70","1,199.70"
2018/9/18,"1,198.70","1,196.80","1,196.80"
2018/9/19,"1,202.20","1,202.20","1,202.20"
2018/9/20,"1,206.20","1,206.20","1,206.20"
2018/9/21,"1,196.20","1,196.20","1,196.20"
2018/9/24,"1,199.30","1,199.30","1,199.30"
2018/9/25,"1,202.80","1,200.00","1,200.00"
2018/9/26,"1,194.00","1,194.00","1,194.00"
2018/9/27,"1,197.30","1,180.50","1,182.30"
2018/9/28,"1,191.90","1,180.00","1,191.50"
2018/10/1,"1,191.60","1,185.80","1,187.10"
2018/10/2,"1,206.00","1,190.30","1,202.40"
2018/10/3,"1,202.60","1,196.60","1,198.30"
2018/10/4,"1,204.60","1,197.20","1,197.20"
2018/10/5,"1,205.30","1,196.90","1,201.20"
2018/10/8,"1,201.00","1,183.70","1,184.40"
2018/10/9,"1,189.10","1,185.60","1,187.20"
2018/10/10,"1,192.00","1,189.30","1,189.30"
2018/10/11,"1,224.60","1,196.30","1,223.50"
2018/10/12,"1,221.60","1,216.00","1,218.10"
2018/10/15,"1,232.30","1,222.40","1,226.40"
2018/10/16,"1,230.50","1,227.10","1,227.30"
2018/10/17,"1,225.90","1,223.70","1,223.70"
2018/10/18,"1,226.50","1,226.50","1,226.50"
2018/10/19,"1,225.30","1,225.30","1,225.30"
2018/10/22,"1,224.50","1,219.60","1,221.20"
2018/10/23,"1,237.80","1,224.80","1,233.40"
2018/10/24,"1,231.60","1,227.80","1,227.80"
2018/10/25,"1,238.60","1,229.10","1,229.10"
2018/10/26,"1,234.80","1,232.50","1,232.50"
2018/10/29,"1,224.50","1,224.50","1,224.50"
2018/10/30,"1,227.70","1,219.80","1,222.60"
2018/10/31,"1,216.60","1,212.00","1,212.30"
2018/11/1,"1,236.00","1,215.40","1,236.00"
2018/11/2,"1,233.30","1,230.90","1,230.90"
2018/11/5,"1,231.50","1,226.70","1,229.80"
2018/11/6,"1,233.80","1,223.80","1,223.80"
2018/11/7,"1,228.60","1,226.20","1,226.20"
2018/11/8,"1,222.90","1,222.90","1,222.90"
2018/11/9,"1,207.90","1,206.40","1,206.40"
2018/11/12,"1,201.60","1,201.30","1,201.30"
2018/11/13,"1,201.30","1,196.30","1,199.20"
2018/11/14,"1,207.90","1,207.90","1,207.90"
2018/11/15,"1,212.80","1,212.80","1,212.80"
2018/11/16,"1,223.80","1,216.70","1,220.80"
2018/11/19,"1,223.10","1,223.10","1,223.10"
2018/11/20,"1,228.80","1,219.00","1,219.00"
2018/11/21,"1,225.80","1,225.80","1,225.80"
2018/11/23,"1,224.80","1,221.00","1,221.00"
2018/11/26,"1,222.00","1,220.20","1,220.20"
2018/11/27,"1,222.00","1,211.20","1,211.20"
2018/11/28,"1,221.40","1,211.50","1,221.40"
2018/11/29,"1,228.70","1,220.50","1,224.10"
2018/11/30,"1,225.00","1,216.10","1,220.20"
2018/12/3,"1,234.10","1,221.30","1,233.90"
2018/12/4,"1,241.40","1,230.40","1,241.10"
2018/12/6,"1,244.40","1,234.80","1,238.10"
2018/12/7,"1,249.80","1,237.60","1,246.80"
2018/12/10,"1,249.60","1,241.70","1,243.70"
2018/12/11,"1,248.70","1,241.50","1,241.90"
2018/12/12,"1,245.60","1,244.10","1,244.40"
2018/12/13,"1,243.50","1,241.00","1,242.70"
2018/12/14,"1,241.70","1,234.10","1,237.00"
2018/12/17,"1,247.40","1,239.30","1,247.40"
2018/12/18,"1,249.20","1,245.60","1,249.20"
2018/12/19,"1,255.80","1,252.10","1,252.10"
2018/12/20,"1,263.60","1,243.20","1,263.60"
2018/12/21,"1,261.30","1,253.80","1,253.80"
2018/12/24,"1,268.50","1,260.30","1,267.50"
2018/12/26,"1,277.40","1,269.20","1,269.20"
2018/12/27,"1,277.30","1,276.70","1,277.30"
2018/12/28,"1,280.10","1,273.50","1,279.90"
2018/12/31,"1,281.30","1,277.60","1,278.30"
2019/1/2,"1,286.00","1,277.60","1,281.00"
2019/1/3,"1,292.00","1,286.70","1,291.80"
2019/1/4,"1,294.20","1,275.30","1,282.70"
2019/1/7,"1,286.80","1,286.60","1,286.80"
2019/1/8,"1,283.20","1,278.20","1,283.20"
2019/1/9,"1,289.30","1,279.20","1,289.30"
2019/1/10,"1,284.70","1,284.70","1,284.70"
2019/1/11,"1,291.20","1,286.30","1,287.10"
2019/1/14,"1,293.90","1,289.10","1,289.10"
2019/1/15,"1,292.70","1,286.20","1,286.20"
2019/1/16,"1,291.60","1,291.60","1,291.60"
2019/1/17,"1,292.70","1,288.50","1,291.00"
2019/1/18,"1,281.30","1,281.30","1,281.30"
2019/1/22,"1,283.30","1,282.50","1,282.50"
2019/1/23,"1,283.90","1,278.70","1,283.10"
2019/1/24,"1,279.10","1,278.50","1,279.10"
2019/1/25,"1,297.40","1,297.40","1,297.40"
2019/1/28,"1,307.10","1,298.40","1,302.40"
2019/1/29,"1,308.20","1,308.20","1,308.20"
2019/1/30,"1,323.40","1,308.10","1,309.90"
2019/1/31,"1,325.40","1,316.70","1,319.70"
2019/2/1,"1,320.70","1,315.40","1,316.90"
2019/2/4,"1,318.10","1,308.30","1,314.30"
2019/2/5,"1,315.10","1,311.00","1,314.20"
2019/2/6,"1,313.50","1,305.00","1,309.50"
2019/2/7,"1,310.40","1,302.20","1,309.40"
2019/2/8,"1,314.00","1,307.80","1,313.70"
2019/2/11,"1,313.40","1,304.70","1,307.00"
2019/2/12,"1,312.00","1,307.60","1,309.20"
2019/2/13,"1,316.00","1,308.10","1,310.80"
2019/2/14,"1,311.80","1,301.60","1,309.80"
2019/2/15,"1,318.80","1,313.60","1,318.10"
2019/2/19,"1,340.10","1,320.50","1,340.10"
2019/2/20,"1,344.00","1,338.00","1,343.30"
2019/2/21,"1,334.90","1,320.90","1,323.50"
2019/2/22,"1,331.30","1,321.00","1,329.20"
2019/2/25,"1,331.60","1,325.60","1,325.90"
2019/2/26,"1,325.50","1,323.30","1,325.10"
2019/2/27,"1,327.90","1,316.50","1,317.70"
2019/2/28,"1,323.70","1,311.50","1,312.80"
2019/3/1,"1,312.20","1,288.90","1,296.40"
2019/3/4,"1,287.00","1,281.90","1,284.80"
2019/3/5,"1,287.00","1,282.00","1,282.00"
2019/3/6,"1,287.10","1,282.60","1,284.90"
2019/3/7,"1,284.60","1,281.00","1,283.80"
2019/3/8,"1,297.40","1,291.60","1,297.00"
2019/3/11,"1,291.00","1,288.80","1,288.80"
2019/3/12,"1,296.30","1,294.70","1,296.30"
2019/3/13,"1,307.50","1,307.50","1,307.50"
2019/3/14,"1,293.40","1,293.40","1,293.40"
2019/3/15,"1,304.70","1,300.50","1,301.80"
2019/3/18,"1,302.20","1,297.30","1,300.30"
2019/3/19,"1,306.90","1,304.80","1,305.00"
2019/3/20,"1,300.70","1,300.50","1,300.50"
2019/3/21,"1,306.10","1,306.10","1,306.10"
2019/3/22,"1,311.60","1,311.60","1,311.60"
2019/3/25,"1,322.90","1,320.70","1,321.90"
2019/3/26,"1,315.60","1,314.30","1,314.30"
2019/3/27,"1,309.90","1,309.90","1,309.90"
2019/3/28,"1,311.10","1,287.70","1,289.80"
2019/3/29,"1,298.50","1,286.10","1,293.00"
2019/4/1,"1,295.90","1,285.70","1,288.40"
2019/4/2,"1,290.90","1,284.50","1,290.00"
2019/4/3,"1,293.10","1,287.50","1,289.90"
2019/4/4,"1,292.60","1,279.50","1,289.00"
2019/4/5,"1,292.00","1,283.60","1,290.40"
2019/4/8,"1,302.10","1,291.80","1,297.10"
2019/4/9,"1,304.90","1,298.50","1,303.50"
2019/4/10,"1,309.10","1,301.50","1,309.10"
2019/4/11,"1,307.10","1,288.60","1,288.60"
2019/4/12,"1,293.40","1,289.20","1,290.60"
2019/4/15,"1,287.30","1,282.30","1,286.80"
2019/4/16,"1,285.20","1,272.20","1,272.60"
2019/4/17,"1,273.50","1,271.60","1,272.20"
2019/4/18,"1,273.60","1,270.10","1,271.90"
2019/4/22,"1,273.50","1,273.50","1,273.50"
2019/4/23,"1,269.80","1,266.00","1,269.30"
2019/4/24,"1,275.50","1,267.80","1,275.50"
2019/4/25,"1,280.80","1,275.80","1,275.80"
2019/4/26,"1,284.90","1,284.90","1,284.90"
2019/4/29,"1,284.90","1,277.10","1,278.60"
2019/4/30,"1,283.30","1,280.80","1,282.80"
2019/5/1,"1,283.30","1,278.70","1,281.40"
2019/5/2,"1,270.80","1,266.60","1,269.70"
2019/5/3,"1,279.20","1,270.10","1,279.20"
2019/5/6,"1,282.20","1,280.30","1,281.70"
2019/5/7,"1,283.50","1,280.50","1,283.50"
2019/5/8,"1,279.40","1,279.40","1,279.40"
2019/5/9,"1,285.00","1,278.80","1,283.50"
2019/5/10,"1,286.50","1,283.30","1,285.70"
2019/5/13,"1,300.10","1,281.80","1,300.10"
2019/5/14,"1,297.80","1,294.70","1,294.70"
2019/5/15,"1,296.90","1,296.00","1,296.30"
2019/5/16,"1,285.40","1,285.00","1,285.00"
2019/5/17,"1,280.00","1,274.50","1,274.50"
2019/5/20,"1,276.10","1,276.10","1,276.10"
2019/5/21,"1,272.00","1,272.00","1,272.00"
2019/5/22,"1,273.60","1,273.60","1,273.60"
2019/5/23,"1,284.80","1,284.80","1,284.80"
2019/5/24,"1,283.00","1,283.00","1,283.00"
2019/5/28,"1,276.50","1,276.50","1,276.50"
2019/5/29,"1,280.60","1,280.60","1,280.60"
2019/5/30,"1,288.30","1,273.90","1,287.10"
2019/5/31,"1,306.40","1,287.50","1,305.80"
2019/6/3,"1,327.80","1,307.00","1,322.70"
2019/6/4,"1,328.60","1,320.80","1,323.40"
2019/6/5,"1,343.30","1,326.30","1,328.30"
2019/6/6,"1,338.70","1,326.20","1,337.60"
2019/6/7,"1,347.70","1,329.80","1,341.20"
2019/6/10,"1,336.50","1,324.10","1,324.70"
2019/6/11,"1,328.40","1,319.10","1,326.40"
2019/6/12,"1,334.50","1,326.90","1,331.90"
2019/6/13,"1,341.10","1,331.60","1,339.20"
2019/6/14,"1,355.40","1,339.30","1,340.10"
2019/6/17,"1,340.30","1,335.00","1,338.70"
2019/6/18,"1,349.30","1,341.60","1,346.60"
2019/6/19,"1,344.60","1,344.00","1,344.60"
2019/6/20,"1,392.90","1,379.50","1,392.90"
2019/6/21,"1,406.00","1,390.30","1,396.20"
2019/6/24,"1,420.60","1,402.10","1,414.30"
2019/6/25,"1,433.30","1,414.90","1,414.90"
2019/6/26,"1,413.30","1,405.80","1,411.60"
2019/6/27,"1,410.80","1,399.80","1,408.40"
2019/6/28,"1,422.00","1,408.30","1,409.70"
2019/7/1,"1,395.80","1,382.80","1,385.60"
2019/7/2,"1,418.40","1,390.80","1,404.60"
2019/7/3,"1,434.00","1,413.10","1,417.70"
2019/7/5,"1,418.30","1,390.20","1,396.70"
2019/7/8,"1,397.00","1,393.60","1,397.00"
2019/7/9,"1,397.50","1,386.20","1,397.50"
2019/7/10,"1,410.10","1,409.90","1,410.10"
2019/7/11,"1,424.00","1,404.30","1,404.30"
2019/7/12,"1,410.10","1,405.60","1,409.90"
2019/7/15,"1,415.00","1,411.40","1,411.40"
2019/7/16,"1,413.70","1,405.00","1,409.20"
2019/7/17,"1,421.30","1,404.60","1,421.30"
2019/7/18,"1,444.20","1,419.50","1,426.10"
2019/7/19,"1,442.00","1,425.10","1,425.10"
2019/7/22,"1,425.30","1,424.00","1,425.30"
2019/7/23,"1,421.30","1,416.30","1,420.10"
2019/7/24,"1,422.80","1,422.80","1,422.80"
2019/7/25,"1,413.90","1,413.90","1,413.90"
2019/7/26,"1,423.00","1,418.50","1,418.50"
2019/7/29,"1,419.60","1,419.60","1,419.60"
2019/7/30,"1,433.90","1,422.10","1,429.70"
2019/7/31,"1,435.80","1,411.20","1,426.10"
2019/8/1,"1,445.20","1,400.90","1,420.90"
2019/8/2,"1,448.00","1,432.30","1,445.60"
2019/8/5,"1,469.70","1,440.40","1,464.60"
2019/8/6,"1,475.00","1,457.70","1,472.40"
2019/8/7,"1,509.90","1,473.20","1,507.30"
2019/8/8,"1,508.50","1,492.00","1,497.70"
2019/8/9,"1,507.50","1,495.60","1,496.60"
2019/8/12,"1,514.90","1,488.10","1,505.30"
2019/8/13,"1,531.40","1,483.70","1,502.20"
2019/8/14,"1,520.50","1,497.00","1,515.90"
2019/8/15,"1,522.70","1,510.60","1,519.60"
2019/8/16,"1,524.60","1,504.70","1,512.50"
2019/8/19,"1,507.60","1,492.90","1,500.40"
2019/8/20,"1,506.10","1,497.50","1,504.60"
2019/8/21,"1,505.00","1,498.80","1,504.60"
2019/8/22,"1,497.30","1,493.80","1,497.30"
2019/8/23,"1,527.60","1,493.50","1,526.60"
2019/8/26,"1,543.30","1,524.30","1,526.30"
2019/8/27,"1,542.10","1,528.50","1,541.00"
2019/8/28,"1,538.10","1,537.80","1,537.80"
2019/8/29,"1,549.30","1,519.60","1,526.50"
2019/8/30,"1,530.40","1,516.70","1,519.10"
2019/9/3,"1,547.30","1,521.00","1,545.90"
2019/9/4,"1,553.20","1,534.80","1,550.30"
2019/9/5,"1,551.10","1,511.10","1,515.40"
2019/9/6,"1,526.00","1,504.50","1,506.20"
2019/9/9,"1,513.00","1,498.00","1,502.20"
2019/9/10,"1,498.50","1,486.90","1,490.30"
2019/9/11,"1,496.60","1,490.20","1,494.40"
